# {'participant': 'monica', 'session': 'N', 'EEG': 'No', 'date': '2022_Feb_16_1511', 'expName': 'FT-RSGT', 'frameRate': 60.01777187268586}
subj, EEG,trial,time, stimulus, response
monica, False,318,293.8841363930,tap,s
monica,False,319,294.2850658320,stimulus,
monica, False,319,294.5886650850,tap,l
monica,False,320,295.0352051740,stimulus,
monica, False,320,295.5419800710,tap,l
monica,False,321,295.7853395200,stimulus,
monica,False,322,296.5354134470,stimulus,
monica, False,322,296.7225769760,tap,l
monica,False,323,297.2855324800,stimulus,
monica, False,323,297.7384622660,tap,s
monica,False,324,298.0356380070,stimulus,
monica, False,324,298.2784154470,tap,s
monica,False,325,298.7857640400,stimulus,
monica, False,325,298.9045564010,tap,s
monica, False,325,299.5223596730,tap,s
monica,False,326,299.5358475360,stimulus,
monica, False,326,300.0284425120,tap,l
monica,False,327,300.2859926130,stimulus,
monica, False,327,300.7782943070,tap,l
monica,False,328,301.0360792360,stimulus,
monica, False,328,301.3938346310,tap,l
monica,False,329,301.7861883730,stimulus,
monica, False,329,302.2251098540,tap,l
monica,False,330,302.5363158150,stimulus,
monica, False,330,302.9528972420,tap,l
monica,False,331,303.2863883340,stimulus,
monica, False,331,303.6561798450,tap,s
monica,False,332,304.0365303440,stimulus,
monica, False,332,304.3735127430,tap,s
monica,False,333,304.7866041910,stimulus,
monica, False,333,305.0661989460,tap,l
monica,False,334,305.5367407990,stimulus,
monica, False,334,305.6282353160,tap,l
monica,False,335,306.2868175100,stimulus,
monica, False,335,306.3400744270,tap,l
monica,False,336,307.0369116220,stimulus,
